1	FALSE	Cell Phones	Teléfonos móviles
2	FALSE	High Speed Internet	Internet de alta velocidad
3	FALSE	Digital TV	Televisión digital
4	FALSE	Home Phone	Teléfono residencial
5	FALSE	Bundles	Paquetes
6	FALSE	Wireless	Móvil
7	FALSE	LTE	LTE
8	FALSE	Pages Don't Look Right?	¿No ves correctamente las páginas?
9	FALSE	"For a better online experience, we recommend updating your current browser or using one of these:"	"Para mejorar tu experiencia en línea, te recomendamos actualizar tu navegador actual o usar uno de estos:"
10	FALSE	Internet Explorer Browser will open in a new window or tab	Internet Explorer se abrirá en una nueva ventana o pestaña
11	FALSE	Chrome Browser will open in a new window or tab	Chrome se abrirá en nueva ventana o pestaña
12	FALSE	Firefox Browser will open in a new window or tab	Firefox se abrirá en nueva ventana o pestaña
13	FALSE	Safari Browser will open in a new window or tab	Safari se abrirá en nueva ventana o pestaña
14	FALSE	Close	Cerrar
15	FALSE	Skip navigation	Saltar navegación
16	FALSE	Personal	Personal
17	FALSE	att.com	att.com
18	FALSE	att.net	att.net
19	FALSE	uverse.com	uverse.com
20	FALSE	Digital Life	Digital Life
21	FALSE	Business	Empresas
22	FALSE	Small Business	Pequeñas empresas
23	FALSE	Enterprise Business	Grandes empresas
24	FALSE	Wholesale	Servicios mayoristas
25	FALSE	Government	Gobierno
26	FALSE	About {[&amp;0:548]}	Acerca de {[&amp;0:548]}
